,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Electricity production (TWh),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,World Energy & Climate Statistics – Yearbook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,www.enerdata.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Back to list of tables,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2022 - 2023 (%) ,2000 - 2023 (%/year) ,,,
,Middle-East,251,247,277,304,333,347,368,389,416,443,472,500,533,564,597,644,687,732,779,821,888,917,959,994,"1,057","1,112","1,148","1,224","1,208","1,237","1,253","1,291","1,334","1,400",5.0,4.8,,,
,Iran,59,64,68,76,82,85,91,98,103,113,121,130,141,154,166,178,193,204,215,221,233,240,254,262,274,281,289,308,310,311,336,344,361,378,4.8,5.1,,,
,Kuwait,19,11,17,18,23,24,26,27,30,32,32,34,36,40,41,44,48,49,52,53,57,57,61,61,65,68,70,74,74,75,75,81,83,86,3.2,4.3,,,
,Saudi Arabia,70,75,80,88,97,100,103,107,108,115,126,134,142,153,160,176,181,191,204,217,240,250,272,284,312,338,345,379,359,368,367,379,389,410,5.4,5.3,,,
,United Arab Emirates,17,17,19,22,24,25,27,28,33,37,40,43,47,49,52,61,67,79,80,86,94,99,106,110,117,127,130,135,136,138,137,149,155,168,8.3,6.5,,,
,n.a. : non available ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,141 additional countries available in our Global Energy & CO2 Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"© Copyright Enerdata www.enerdata.net. Reproduction and diffusion prohibited (web, photocopy, intranet...) without written permission.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2022 - 2023 (%) ,2000 - 2023 (%/year) ,,,
,United States of America ,"3,219","3,276","3,291","3,411","3,473","3,582","3,677","3,698","3,830","3,898","4,053","3,865","4,051","4,082","4,175","4,294","4,301","4,350","4,368","4,188","4,378","4,349","4,291","4,306","4,340","4,317","4,322","4,286","4,455","4,392","4,260","4,375","4,540","4,520",-0.4,0.5,,,
